# phi  Veff_T1e-05  Veff_T1e-03
# # g0=0.6  y0=0.0  lam0=0.0  m0=0.0  scale=pi
3.4200000000e-04 -1.8740226586e-16 3.5272260538e-15
3.4400000000e-04 -1.9179016911e-16 3.5644086539e-15
3.4600000000e-04 -1.9625464799e-16 3.6017260005e-15
3.4800000000e-04 -2.0079658789e-16 3.6391769455e-15
3.5000000000e-04 -2.0541687928e-16 3.6767603377e-15
3.5200000000e-04 -2.1011641775e-16 3.7144750225e-15
3.5400000000e-04 -2.1489610393e-16 3.7523198422e-15
3.5600000000e-04 -2.1975684358e-16 3.7902936359e-15
3.5800000000e-04 -2.2469954752e-16 3.8283952393e-15
3.6000000000e-04 -2.2972513165e-16 3.8666234851e-15
3.6200000000e-04 -2.3483451700e-16 3.9049772027e-15
3.6400000000e-04 -2.4002862963e-16 3.9434552182e-15
3.6600000000e-04 -2.4530840074e-16 3.9820563547e-15
3.6800000000e-04 -2.5067476658e-16 4.0207794319e-15
3.7000000000e-04 -2.5612866851e-16 4.0596232665e-15
3.7200000000e-04 -2.6167105295e-16 4.0985866717e-15
3.7400000000e-04 -2.6730287144e-16 4.1376684579e-15
3.7600000000e-04 -2.7302508058e-16 4.1768674320e-15
3.7800000000e-04 -2.7883864208e-16 4.2161823978e-15
3.8000000000e-04 -2.8474452272e-16 4.2556121560e-15
3.8200000000e-04 -2.9074369436e-16 4.2951555041e-15
3.8400000000e-04 -2.9683713398e-16 4.3348112363e-15
3.8600000000e-04 -3.0302582362e-16 4.3745781438e-15
3.8800000000e-04 -3.0931075040e-16 4.4144550145e-15
3.9000000000e-04 -3.1569290656e-16 4.4544406332e-15
3.9200000000e-04 -3.2217328940e-16 4.4945337814e-15
3.9400000000e-04 -3.2875290131e-16 4.5347332377e-15
3.9600000000e-04 -3.3543274977e-16 4.5750377773e-15
3.9800000000e-04 -3.4221384736e-16 4.6154461724e-15
4.0000000000e-04 -3.4909721173e-16 4.6559571920e-15
4.0200000000e-04 -3.5608386562e-16 4.6965696018e-15
4.0400000000e-04 -3.6317483687e-16 4.7372821647e-15
4.0600000000e-04 -3.7037115838e-16 4.7780936400e-15
4.0800000000e-04 -3.7767386817e-16 4.8190027843e-15
4.1000000000e-04 -3.8508400933e-16 4.8600083507e-15
4.1200000000e-04 -3.9260263002e-16 4.9011090894e-15
4.1400000000e-04 -4.0023078353e-16 4.9423037475e-15
4.1600000000e-04 -4.0796952820e-16 4.9835910686e-15
4.1800000000e-04 -4.1581992747e-16 5.0249697937e-15
4.2000000000e-04 -4.2378304986e-16 5.0664386602e-15
4.2200000000e-04 -4.3185996899e-16 5.1079964026e-15
4.2400000000e-04 -4.4005176357e-16 5.1496417524e-15
4.2600000000e-04 -4.4835951737e-16 5.1913734377e-15
4.2800000000e-04 -4.5678431928e-16 5.2331901837e-15
4.3000000000e-04 -4.6532726325e-16 5.2750907123e-15
4.3200000000e-04 -4.7398944833e-16 5.3170737425e-15
4.3400000000e-04 -4.8277197867e-16 5.3591379900e-15
4.3600000000e-04 -4.9167596347e-16 5.4012821675e-15
4.3800000000e-04 -5.0070251706e-16 5.4435049846e-15
4.4000000000e-04 -5.0985275882e-16 5.4858051477e-15
4.4200000000e-04 -5.1912781325e-16 5.5281813602e-15
4.4400000000e-04 -5.2852880991e-16 5.5706323223e-15
4.4600000000e-04 -5.3805688347e-16 5.6131567313e-15
4.4800000000e-04 -5.4771317366e-16 5.6557532811e-15
4.5000000000e-04 -5.5749882532e-16 5.6984206627e-15
4.5200000000e-04 -5.6741498837e-16 5.7411575641e-15
4.5400000000e-04 -5.7746281781e-16 5.7839626699e-15
4.5600000000e-04 -5.8764347375e-16 5.8268346620e-15
4.5800000000e-04 -5.9795812135e-16 5.8697722189e-15
4.6000000000e-04 -6.0840793089e-16 5.9127740161e-15
4.6200000000e-04 -6.1899407772e-16 5.9558387261e-15
4.6400000000e-04 -6.2971774228e-16 5.9989650182e-15
4.6600000000e-04 -6.4058011010e-16 6.0421515588e-15
4.6800000000e-04 -6.5158237180e-16 6.0853970110e-15
4.7000000000e-04 -6.6272572308e-16 6.1287000349e-15
4.7200000000e-04 -6.7401136474e-16 6.1720592876e-15
4.7400000000e-04 -6.8544050263e-16 6.2154734231e-15
4.7600000000e-04 -6.9701434774e-16 6.2589410923e-15
4.7800000000e-04 -7.0873411611e-16 6.3024609430e-15
4.8000000000e-04 -7.2060102888e-16 6.3460316199e-15
4.8200000000e-04 -7.3261631227e-16 6.3896517647e-15
4.8400000000e-04 -7.4478119760e-16 6.4333200162e-15
4.8600000000e-04 -7.5709692127e-16 6.4770350097e-15
4.8800000000e-04 -7.6956472476e-16 6.5207953779e-15
4.9000000000e-04 -7.8218585464e-16 6.5645997500e-15
4.9200000000e-04 -7.9496156258e-16 6.6084467526e-15
4.9400000000e-04 -8.0789310533e-16 6.6523350088e-15
4.9600000000e-04 -8.2098174471e-16 6.6962631389e-15
4.9800000000e-04 -8.3422874766e-16 6.7402297601e-15
5.0000000000e-04 -8.4763538617e-16 6.7842334865e-15
5.0200000000e-04 -8.6120293734e-16 6.8282729291e-15
5.0400000000e-04 -8.7493268336e-16 6.8723466959e-15
5.0600000000e-04 -8.8882591150e-16 6.9164533919e-15
5.0800000000e-04 -9.0288391412e-16 6.9605916189e-15
5.1000000000e-04 -9.1710798865e-16 7.0047599758e-15
5.1200000000e-04 -9.3149943762e-16 7.0489570582e-15
5.1400000000e-04 -9.4605956867e-16 7.0931814590e-15
5.1600000000e-04 -9.6078969448e-16 7.1374317677e-15
5.1800000000e-04 -9.7569113286e-16 7.1817065709e-15
5.2000000000e-04 -9.9076520668e-16 7.2260044522e-15
5.2200000000e-04 -1.0060132439e-15 7.2703239921e-15
5.2400000000e-04 -1.0214365776e-15 7.3146637679e-15
5.2600000000e-04 -1.0370365459e-15 7.3590223540e-15
5.2800000000e-04 -1.0528144920e-15 7.4033983218e-15
5.3000000000e-04 -1.0687717643e-15 7.4477902395e-15
5.3200000000e-04 -1.0849097161e-15 7.4921966722e-15
5.3400000000e-04 -1.1012297060e-15 7.5366161822e-15
5.3600000000e-04 -1.1177330974e-15 7.5810473285e-15
5.3800000000e-04 -1.1344212592e-15 7.6254886672e-15
5.4000000000e-04 -1.1512955649e-15 7.6699387511e-15
5.4200000000e-04 -1.1683573935e-15 7.7143961303e-15
5.4400000000e-04 -1.1856081289e-15 7.7588593516e-15
5.4600000000e-04 -1.2030491601e-15 7.8033269587e-15
5.4800000000e-04 -1.2206818812e-15 7.8477974925e-15
5.5000000000e-04 -1.2385076914e-15 7.8922694906e-15
5.5200000000e-04 -1.2565279949e-15 7.9367414875e-15
5.5400000000e-04 -1.2747442011e-15 7.9812120150e-15
5.5600000000e-04 -1.2931577245e-15 8.0256796013e-15
5.5800000000e-04 -1.3117699845e-15 8.0701427721e-15
5.6000000000e-04 -1.3305824059e-15 8.1146000496e-15
5.6200000000e-04 -1.3495964183e-15 8.1590499531e-15
5.6400000000e-04 -1.3688134565e-15 8.2034909989e-15
5.6600000000e-04 -1.3882349603e-15 8.2479217001e-15
5.6800000000e-04 -1.4078623749e-15 8.2923405668e-15
5.7000000000e-04 -1.4276971501e-15 8.3367461061e-15
5.7200000000e-04 -1.4477407413e-15 8.3811368218e-15
5.7400000000e-04 -1.4679946085e-15 8.4255112148e-15
5.7600000000e-04 -1.4884602171e-15 8.4698677829e-15
5.7800000000e-04 -1.5091390375e-15 8.5142050209e-15
5.8000000000e-04 -1.5300325452e-15 8.5585214203e-15
5.8200000000e-04 -1.5511422208e-15 8.6028154697e-15
5.8400000000e-04 -1.5724695499e-15 8.6470856546e-15
5.8600000000e-04 -1.5940160233e-15 8.6913304572e-15
5.8800000000e-04 -1.6157831369e-15 8.7355483570e-15
5.9000000000e-04 -1.6377723915e-15 8.7797378301e-15
5.9200000000e-04 -1.6599852932e-15 8.8238973496e-15
5.9400000000e-04 -1.6824233530e-15 8.8680253855e-15
5.9600000000e-04 -1.7050880873e-15 8.9121204047e-15
5.9800000000e-04 -1.7279810171e-15 8.9561808709e-15
6.0000000000e-04 -1.7511036690e-15 9.0002052449e-15
6.0200000000e-04 -1.7744575743e-15 9.0441919842e-15
6.0400000000e-04 -1.7980442695e-15 9.0881395433e-15
6.0600000000e-04 -1.8218652964e-15 9.1320463735e-15
6.0800000000e-04 -1.8459222016e-15 9.1759109231e-15
6.1000000000e-04 -1.8702165369e-15 9.2197316371e-15
6.1200000000e-04 -1.8947498591e-15 9.2635069576e-15
6.1400000000e-04 -1.9195237304e-15 9.3072353233e-15
6.1600000000e-04 -1.9445397177e-15 9.3509151700e-15
6.1800000000e-04 -1.9697993931e-15 9.3945449303e-15
6.2000000000e-04 -1.9953043339e-15 9.4381230334e-15
6.2200000000e-04 -2.0210561225e-15 9.4816479059e-15
6.2400000000e-04 -2.0470563461e-15 9.5251179706e-15
6.2600000000e-04 -2.0733065974e-15 9.5685316476e-15
6.2800000000e-04 -2.0998084739e-15 9.6118873538e-15
6.3000000000e-04 -2.1265635782e-15 9.6551835026e-15
6.3200000000e-04 -2.1535735182e-15 9.6984185047e-15
6.3400000000e-04 -2.1808399066e-15 9.7415907672e-15
6.3600000000e-04 -2.2083643614e-15 9.7846986942e-15
6.3800000000e-04 -2.2361485056e-15 9.8277406866e-15
6.4000000000e-04 -2.2641939673e-15 9.8707151422e-15
6.4200000000e-04 -2.2925023797e-15 9.9136204554e-15
6.4400000000e-04 -2.3210753810e-15 9.9564550175e-15
6.4600000000e-04 -2.3499146147e-15 9.9992172167e-15
6.4800000000e-04 -2.3790217292e-15 1.0041905438e-14
6.5000000000e-04 -2.4083983780e-15 1.0084518062e-14
6.5200000000e-04 -2.4380462198e-15 1.0127053468e-14
6.5400000000e-04 -2.4679669182e-15 1.0169510032e-14
6.5600000000e-04 -2.4981621421e-15 1.0211886124e-14
6.5800000000e-04 -2.5286335653e-15 1.0254180113e-14
6.6000000000e-04 -2.5593828668e-15 1.0296390366e-14
6.6200000000e-04 -2.5904117308e-15 1.0338515243e-14
6.6400000000e-04 -2.6217218462e-15 1.0380553104e-14
6.6600000000e-04 -2.6533149074e-15 1.0422502304e-14
6.6800000000e-04 -2.6851926137e-15 1.0464361196e-14
6.7000000000e-04 -2.7173566694e-15 1.0506128128e-14
6.7200000000e-04 -2.7498087842e-15 1.0547801446e-14
6.7400000000e-04 -2.7825506725e-15 1.0589379492e-14
6.7600000000e-04 -2.8155840540e-15 1.0630860604e-14
6.7800000000e-04 -2.8489106536e-15 1.0672243119e-14
6.8000000000e-04 -2.8825322010e-15 1.0713525369e-14
6.8200000000e-04 -2.9164504311e-15 1.0754705682e-14
6.8400000000e-04 -2.9506670841e-15 1.0795782384e-14
6.8600000000e-04 -2.9851839049e-15 1.0836753797e-14
6.8800000000e-04 -3.0200026438e-15 1.0877618239e-14
6.9000000000e-04 -3.0551250560e-15 1.0918374025e-14
6.9200000000e-04 -3.0905529020e-15 1.0959019468e-14
6.9400000000e-04 -3.1262879472e-15 1.0999552875e-14
6.9600000000e-04 -3.1623319621e-15 1.1039972551e-14
6.9800000000e-04 -3.1986867223e-15 1.1080276797e-14
7.0000000000e-04 -3.2353540086e-15 1.1120463912e-14
7.0200000000e-04 -3.2723356067e-15 1.1160532189e-14
7.0400000000e-04 -3.3096333076e-15 1.1200479920e-14
7.0600000000e-04 -3.3472489073e-15 1.1240305390e-14
7.0800000000e-04 -3.3851842067e-15 1.1280006885e-14
7.1000000000e-04 -3.4234410120e-15 1.1319582684e-14
7.1200000000e-04 -3.4620211345e-15 1.1359031064e-14
7.1400000000e-04 -3.5009263906e-15 1.1398350297e-14
7.1600000000e-04 -3.5401586015e-15 1.1437538652e-14
7.1800000000e-04 -3.5797195938e-15 1.1476594395e-14
7.2000000000e-04 -3.6196111991e-15 1.1515515788e-14
7.2200000000e-04 -3.6598352541e-15 1.1554301089e-14
7.2400000000e-04 -3.7003936005e-15 1.1592948552e-14
7.2600000000e-04 -3.7412880852e-15 1.1631456429e-14
7.2800000000e-04 -3.7825205600e-15 1.1669822965e-14
7.3000000000e-04 -3.8240928821e-15 1.1708046403e-14
7.3200000000e-04 -3.8660069135e-15 1.1746124984e-14
7.3400000000e-04 -3.9082645215e-15 1.1784056942e-14
7.3600000000e-04 -3.9508675782e-15 1.1821840509e-14
7.3800000000e-04 -3.9938179611e-15 1.1859473913e-14
7.4000000000e-04 -4.0371175526e-15 1.1896955377e-14
7.4200000000e-04 -4.0807682403e-15 1.1934283120e-14
7.4400000000e-04 -4.1247719168e-15 1.1971455358e-14
7.4600000000e-04 -4.1691304798e-15 1.2008470304e-14
7.4800000000e-04 -4.2138458321e-15 1.2045326164e-14
7.5000000000e-04 -4.2589198816e-15 1.2082021142e-14
7.5200000000e-04 -4.3043545413e-15 1.2118553436e-14
7.5400000000e-04 -4.3501517293e-15 1.2154921243e-14
7.5600000000e-04 -4.3963133686e-15 1.2191122753e-14
7.5800000000e-04 -4.4428413876e-15 1.2227156153e-14
7.6000000000e-04 -4.4897377196e-15 1.2263019624e-14
7.6200000000e-04 -4.5370043029e-15 1.2298711344e-14
7.6400000000e-04 -4.5846430812e-15 1.2334229488e-14
7.6600000000e-04 -4.6326560028e-15 1.2369572223e-14
7.6800000000e-04 -4.6810450217e-15 1.2404737715e-14
