# phi V_T=1e-05 V_T=1e-03 V_T=1e-01
3.325000000000000178e-01 -1.619276392219503517e-04 -7.670367527123865266e-05 -1.590831784174125932e-05
3.350000000000000200e-01 -1.668527911305503876e-04 -7.903178677009144182e-05 -1.663362775431709013e-05
3.375000000000000222e-01 -1.718894494887093219e-04 -8.141249683184510028e-05 -1.737540938802803708e-05
3.400000000000000244e-01 -1.770392847485720083e-04 -8.384659177494151899e-05 -1.813382983457079384e-05
3.425000000000000266e-01 -1.823039797818711743e-04 -8.633486375177545718e-05 -1.890905626854229348e-05
3.450000000000000289e-01 -1.876852298799275558e-04 -8.887811074869482702e-05 -1.970125595111341913e-05
3.475000000000000311e-01 -1.931847427536498708e-04 -9.147713658600044968e-05 -2.051059623448970985e-05
3.500000000000000333e-01 -1.988042385335344936e-04 -9.413275091794620435e-05 -2.133724456735249702e-05
3.524999999999999800e-01 -2.045454497696659157e-04 -9.684576923273891988e-05 -2.218136850153950060e-05
3.549999999999999822e-01 -2.104101214317167189e-04 -9.961701285253863225e-05 -2.304313570031973121e-05
3.574999999999999845e-01 -2.164000109089471685e-04 -1.024473089334581644e-04 -2.392271394875354325e-05
3.599999999999999867e-01 -2.225168880102054573e-04 -1.053374904655634788e-04 -2.482027116683667542e-05
3.624999999999999889e-01 -2.287625349639278412e-04 -1.082883962728735687e-04 -2.573597542643970345e-05
3.649999999999999911e-01 -2.351387464181383953e-04 -1.113008710133603363e-04 -2.666999497355582800e-05
3.674999999999999933e-01 -2.416473294404490135e-04 -1.143757651789487962e-04 -2.762249825818682630e-05
3.699999999999999956e-01 -2.482901035180598158e-04 -1.175139350955169127e-04 -2.859365397560105113e-05
3.724999999999999978e-01 -2.550689005577586326e-04 -1.207162429228957078e-04 -2.958363112522652044e-05
3.750000000000000000e-01 -2.619855648859213031e-04 -1.239835566548692350e-04 -3.059259909829753629e-05
3.775000000000000022e-01 -2.690419532485114587e-04 -1.273167501191744969e-04 -3.162072781544830247e-05
3.800000000000000044e-01 -2.762399348110807125e-04 -1.307167029775016358e-04 -3.266818795858397902e-05
3.825000000000000067e-01 -2.835813911587688218e-04 -1.341843007254936622e-04 -3.373515140231703581e-05
3.850000000000000089e-01 -2.910682162963030921e-04 -1.377204346927466175e-04 -3.482179214679471696e-05
3.875000000000000111e-01 -2.987023166479990275e-04 -1.413260020428097098e-04 -3.592828894669396298e-05
3.900000000000000133e-01 -3.064856110577600596e-04 -1.450019057731849882e-04 -3.705484429009809494e-05
3.925000000000000155e-01 -3.144200307890770594e-04 -1.487490547153275870e-04 -3.820173640223135795e-05
