# S_vals   V0
1.2042042042e+00 -1.9416156617e-03
1.2072072072e+00 -1.9545564314e-03
1.2102102102e+00 -1.9675293024e-03
1.2132132132e+00 -1.9805339507e-03
1.2162162162e+00 -1.9935700493e-03
1.2192192192e+00 -2.0066372679e-03
1.2222222222e+00 -2.0197352728e-03
1.2252252252e+00 -2.0328637272e-03
1.2282282282e+00 -2.0460222913e-03
1.2312312312e+00 -2.0592106217e-03
1.2342342342e+00 -2.0724283719e-03
1.2372372372e+00 -2.0856751922e-03
1.2402402402e+00 -2.0989507297e-03
1.2432432432e+00 -2.1122546281e-03
1.2462462462e+00 -2.1255865278e-03
1.2492492492e+00 -2.1389460662e-03
1.2522522523e+00 -2.1523328771e-03
1.2552552553e+00 -2.1657465913e-03
1.2582582583e+00 -2.1791868360e-03
1.2612612613e+00 -2.1926532354e-03
1.2642642643e+00 -2.2061454102e-03
1.2672672673e+00 -2.2196629780e-03
1.2702702703e+00 -2.2332055529e-03
1.2732732733e+00 -2.2467727457e-03
1.2762762763e+00 -2.2603641640e-03
1.2792792793e+00 -2.2739794120e-03
1.2822822823e+00 -2.2876180906e-03
1.2852852853e+00 -2.3012797972e-03
1.2882882883e+00 -2.3149641261e-03
1.2912912913e+00 -2.3286706681e-03
1.2942942943e+00 -2.3423990107e-03
1.2972972973e+00 -2.3561487379e-03
1.3003003003e+00 -2.3699194306e-03
1.3033033033e+00 -2.3837106662e-03
1.3063063063e+00 -2.3975220185e-03
1.3093093093e+00 -2.4113530583e-03
1.3123123123e+00 -2.4252033527e-03
1.3153153153e+00 -2.4390724657e-03
1.3183183183e+00 -2.4529599575e-03
1.3213213213e+00 -2.4668653854e-03
1.3243243243e+00 -2.4807883027e-03
1.3273273273e+00 -2.4947282599e-03
1.3303303303e+00 -2.5086848036e-03
1.3333333333e+00 -2.5226574772e-03
1.3363363363e+00 -2.5366458206e-03
1.3393393393e+00 -2.5506493703e-03
1.3423423423e+00 -2.5646676593e-03
1.3453453453e+00 -2.5787002172e-03
1.3483483483e+00 -2.5927465701e-03
1.3513513514e+00 -2.6068062408e-03
1.3543543544e+00 -2.6208787484e-03
1.3573573574e+00 -2.6349636086e-03
1.3603603604e+00 -2.6490603338e-03
1.3633633634e+00 -2.6631684326e-03
1.3663663664e+00 -2.6772874104e-03
1.3693693694e+00 -2.6914167690e-03
1.3723723724e+00 -2.7055560067e-03
1.3753753754e+00 -2.7197046183e-03
1.3783783784e+00 -2.7338620951e-03
1.3813813814e+00 -2.7480279248e-03
1.3843843844e+00 -2.7622015918e-03
1.3873873874e+00 -2.7763825768e-03
1.3903903904e+00 -2.7905703569e-03
1.3933933934e+00 -2.8047644059e-03
1.3963963964e+00 -2.8189641939e-03
1.3993993994e+00 -2.8331691876e-03
1.4024024024e+00 -2.8473788498e-03
1.4054054054e+00 -2.8615926402e-03
1.4084084084e+00 -2.8758100147e-03
1.4114114114e+00 -2.8900304257e-03
1.4144144144e+00 -2.9042533218e-03
1.4174174174e+00 -2.9184781485e-03
1.4204204204e+00 -2.9327043473e-03
1.4234234234e+00 -2.9469313562e-03
1.4264264264e+00 -2.9611586098e-03
1.4294294294e+00 -2.9753855389e-03
1.4324324324e+00 -2.9896115708e-03
1.4354354354e+00 -3.0038361292e-03
1.4384384384e+00 -3.0180586341e-03
1.4414414414e+00 -3.0322785020e-03
1.4444444444e+00 -3.0464951456e-03
