# S_vals   V_full,   V_ht,   V_zero
9.1091091091e-01 -2.0496562406e-03 -2.5708260760e-03 -2.0657739682e-03
9.1591591592e-01 -2.0805043598e-03 -2.6176717221e-03 -2.0965993412e-03
9.2092092092e-01 -2.1115312189e-03 -2.6650871251e-03 -2.1276056119e-03
9.2592592593e-01 -2.1427343027e-03 -2.7130758824e-03 -2.1587893759e-03
9.3093093093e-01 -2.1741090405e-03 -2.7616415946e-03 -2.1901471518e-03
9.3593593594e-01 -2.2056531815e-03 -2.8107878651e-03 -2.2216753806e-03
9.4094094094e-01 -2.2373610818e-03 -2.8605183003e-03 -2.2533704258e-03
9.4594594595e-01 -2.2692307661e-03 -2.9108365096e-03 -2.2852285727e-03
9.5095095095e-01 -2.3012575925e-03 -2.9617461054e-03 -2.3172460283e-03
9.5595595596e-01 -2.3334380940e-03 -3.0132507030e-03 -2.3494189208e-03
9.6096096096e-01 -2.3657676413e-03 -3.0653539209e-03 -2.3817432997e-03
9.6596596597e-01 -2.3982430887e-03 -3.1180593804e-03 -2.4142151348e-03
9.7097097097e-01 -2.4308588948e-03 -3.1713707057e-03 -2.4468303167e-03
9.7597597598e-01 -2.4636125658e-03 -3.2252915241e-03 -2.4795846560e-03
9.8098098098e-01 -2.4964982365e-03 -3.2798254659e-03 -2.5124738830e-03
9.8598598599e-01 -2.5295129543e-03 -3.3349761644e-03 -2.5454936475e-03
9.9099099099e-01 -2.5626511553e-03 -3.3907472558e-03 -2.5786395187e-03
9.9599599600e-01 -2.5959089184e-03 -3.4471423793e-03 -2.6119069845e-03
1.0010010010e+00 -2.6292810805e-03 -3.5041651770e-03 -2.6452914516e-03
1.0060060060e+00 -2.6627633770e-03 -3.5618192942e-03 -2.6787882448e-03
1.0110110110e+00 -2.6963507622e-03 -3.6201083790e-03 -2.7123926071e-03
1.0160160160e+00 -2.7300388632e-03 -3.6790360825e-03 -2.7460996992e-03
1.0210210210e+00 -2.7638221792e-03 -3.7386060589e-03 -2.7799045992e-03
1.0260260260e+00 -2.7976957964e-03 -3.7988219652e-03 -2.8138023024e-03
1.0310310310e+00 -2.8316548368e-03 -3.8596874614e-03 -2.8477877210e-03
1.0360360360e+00 -2.8656938137e-03 -3.9212062108e-03 -2.8818556836e-03
1.0410410410e+00 -2.8998077296e-03 -3.9833818792e-03 -2.9160009354e-03
1.0460460460e+00 -2.9339906322e-03 -4.0462181356e-03 -2.9502181374e-03
1.0510510511e+00 -2.9682380762e-03 -4.1097186522e-03 -2.9845018664e-03
1.0560560561e+00 -3.0025433892e-03 -4.1738871038e-03 -3.0188466146e-03
1.0610610611e+00 -3.0369016837e-03 -4.2387271684e-03 -3.0532467895e-03
1.0660660661e+00 -3.0713075972e-03 -4.3042425269e-03 -3.0876967134e-03
1.0710710711e+00 -3.1057543609e-03 -4.3704368633e-03 -3.1221906233e-03
1.0760760761e+00 -3.1402360702e-03 -4.4373138644e-03 -3.1567226705e-03
1.0810810811e+00 -3.1747483157e-03 -4.5048772202e-03 -3.1912869203e-03
1.0860860861e+00 -3.2092837835e-03 -4.5731306233e-03 -3.2258773520e-03
1.0910910911e+00 -3.2438360125e-03 -4.6420777698e-03 -3.2604878583e-03
1.0960960961e+00 -3.2783995722e-03 -4.7117223584e-03 -3.2951122451e-03
1.1011011011e+00 -3.3129677428e-03 -4.7820680909e-03 -3.3297442315e-03
1.1061061061e+00 -3.3475353347e-03 -4.8531186720e-03 -3.3643774491e-03
1.1111111111e+00 -3.3820941263e-03 -4.9248778096e-03 -3.3990054421e-03
1.1161161161e+00 -3.4166380374e-03 -4.9973492143e-03 -3.4336216668e-03
1.1211211211e+00 -3.4511608912e-03 -5.0705365999e-03 -3.4682194917e-03
1.1261261261e+00 -3.4856555043e-03 -5.1444436830e-03 -3.5027921966e-03
1.1311311311e+00 -3.5201156093e-03 -5.2190741834e-03 -3.5373329729e-03
1.1361361361e+00 -3.5545336800e-03 -5.2944318237e-03 -3.5718349231e-03
1.1411411411e+00 -3.5889032625e-03 -5.3705203295e-03 -3.6062910607e-03
1.1461461461e+00 -3.6232167421e-03 -5.4473434295e-03 -3.6406943097e-03
1.1511511512e+00 -3.6574676087e-03 -5.5249048551e-03 -3.6750375045e-03
1.1561561562e+00 -3.6916471962e-03 -5.6032083411e-03 -3.7093133898e-03
1.1611611612e+00 -3.7257492215e-03 -5.6822576250e-03 -3.7435146198e-03
1.1661661662e+00 -3.7597669693e-03 -5.7620564473e-03 -3.7776337586e-03
1.1711711712e+00 -3.7936910001e-03 -5.8426085514e-03 -3.8116632796e-03
1.1761761762e+00 -3.8275153838e-03 -5.9239176840e-03 -3.8455955653e-03
1.1811811812e+00 -3.8612313560e-03 -6.0059875945e-03 -3.8794229070e-03
1.1861861862e+00 -3.8948314147e-03 -6.0888220353e-03 -3.9131375048e-03
1.1911911912e+00 -3.9283077508e-03 -6.1724247619e-03 -3.9467314668e-03
1.1961961962e+00 -3.9616527144e-03 -6.2567995327e-03 -3.9801968097e-03
