# S_vals,  V_ht_pi,   V_ht_pi_over4,   V_ht_pi_by4
3.1431431431e-02 -4.2158796010e+01 -4.5267432418e+01 -3.9707956770e+01
3.1631631632e-02 -4.3422406267e+01 -4.6594491577e+01 -4.0924395125e+01
3.1831831832e-02 -4.4710346873e+01 -4.7946896986e+01 -4.2164451806e+01
3.2032032032e-02 -4.6022886681e+01 -4.9324929265e+01 -4.3428387706e+01
3.2232232232e-02 -4.7360295721e+01 -5.0728870287e+01 -4.4716464840e+01
3.2432432432e-02 -4.8722845201e+01 -5.2159003181e+01 -4.6028946353e+01
3.2632632633e-02 -5.0110807508e+01 -5.3615612330e+01 -4.7366096514e+01
3.2832832833e-02 -5.1524456207e+01 -5.5098983369e+01 -4.8728180720e+01
3.3033033033e-02 -5.2964066042e+01 -5.6609403191e+01 -5.0115465495e+01
3.3233233233e-02 -5.4429912936e+01 -5.8147159942e+01 -5.1528218488e+01
3.3433433433e-02 -5.5922273990e+01 -5.9712543021e+01 -5.2966708478e+01
3.3633633634e-02 -5.7441427483e+01 -6.1305843084e+01 -5.4431205366e+01
3.3833833834e-02 -5.8987652874e+01 -6.2927352038e+01 -5.5921980183e+01
3.4034034034e-02 -6.0561230797e+01 -6.4577363047e+01 -5.7439305085e+01
3.4234234234e-02 -6.2162443069e+01 -6.6256170528e+01 -5.8983453357e+01
3.4434434434e-02 -6.3791572683e+01 -6.7964070153e+01 -6.0554699406e+01
3.4634634635e-02 -6.5448903810e+01 -6.9701358849e+01 -6.2153318771e+01
3.4834834835e-02 -6.7134721800e+01 -7.1468334796e+01 -6.3779588114e+01
3.5035035035e-02 -6.8849313183e+01 -7.3265297428e+01 -6.5433785224e+01
3.5235235235e-02 -7.0592965665e+01 -7.5092547435e+01 -6.7116189017e+01
3.5435435435e-02 -7.2365968132e+01 -7.6950386760e+01 -6.8827079537e+01
3.5635635636e-02 -7.4168610648e+01 -7.8839118601e+01 -7.0566737953e+01
3.5835835836e-02 -7.6001184455e+01 -8.0759047410e+01 -7.2335446560e+01
3.6036036036e-02 -7.7863981974e+01 -8.2710478893e+01 -7.4133488782e+01
3.6236236236e-02 -7.9757296804e+01 -8.4693720010e+01 -7.5961149166e+01
3.6436436436e-02 -8.1681423724e+01 -8.6709078977e+01 -7.7818713388e+01
