# S_vals   V_full
9.1891891892e-01 1.5610956996e-03
9.2192192192e-01 1.5625987976e-03
9.2492492492e-01 1.5640488501e-03
9.2792792793e-01 1.5654415109e-03
9.3093093093e-01 1.5667772736e-03
9.3393393393e-01 1.5680599982e-03
9.3693693694e-01 1.5692835747e-03
9.3993993994e-01 1.5704519283e-03
9.4294294294e-01 1.5715670202e-03
9.4594594595e-01 1.5726209635e-03
9.4894894895e-01 1.5736219460e-03
9.5195195195e-01 1.5745665010e-03
9.5495495495e-01 1.5754531243e-03
9.5795795796e-01 1.5762868726e-03
9.6096096096e-01 1.5770603507e-03
9.6396396396e-01 1.5777798618e-03
9.6696696697e-01 1.5784432541e-03
9.6996996997e-01 1.5790486202e-03
9.7297297297e-01 1.5796013397e-03
9.7597597598e-01 1.5800929109e-03
9.7897897898e-01 1.5805317262e-03
9.8198198198e-01 1.5809125721e-03
9.8498498498e-01 1.5812376677e-03
9.8798798799e-01 1.5815075388e-03
9.9099099099e-01 1.5817191220e-03
9.9399399399e-01 1.5818778216e-03
9.9699699700e-01 1.5819761432e-03
1.0000000000e+00 1.5820224339e-03
1.0030030030e+00 1.5820088616e-03
1.0060060060e+00 1.5819423402e-03
1.0090090090e+00 1.5818174903e-03
1.0120120120e+00 1.5816384836e-03
1.0150150150e+00 1.5814023227e-03
1.0180180180e+00 1.5811111891e-03
1.0210210210e+00 1.5807637314e-03
1.0240240240e+00 1.5803608562e-03
1.0270270270e+00 1.5799021668e-03
1.0300300300e+00 1.5793862280e-03
1.0330330330e+00 1.5788133708e-03
1.0360360360e+00 1.5781852525e-03
1.0390390390e+00 1.5775014028e-03
1.0420420420e+00 1.5767628766e-03
1.0450450450e+00 1.5759682271e-03
1.0480480480e+00 1.5751198032e-03
1.0510510511e+00 1.5742145898e-03
1.0540540541e+00 1.5732568123e-03
1.0570570571e+00 1.5722413138e-03
1.0600600601e+00 1.5711746994e-03
1.0630630631e+00 1.5700492869e-03
1.0660660661e+00 1.5688727617e-03
1.0690690691e+00 1.5676394732e-03
1.0720720721e+00 1.5663534221e-03
1.0750750751e+00 1.5650129003e-03
1.0780780781e+00 1.5636177495e-03
1.0810810811e+00 1.5621706712e-03
1.0840840841e+00 1.5606668811e-03
1.0870870871e+00 1.5591123217e-03
1.0900900901e+00 1.5575020228e-03
1.0930930931e+00 1.5558394875e-03
1.0960960961e+00 1.5541244495e-03
1.0990990991e+00 1.5523544976e-03
1.1021021021e+00 1.5505341439e-03
1.1051051051e+00 1.5486587301e-03
1.1081081081e+00 1.5467317791e-03
1.1111111111e+00 1.5447536279e-03
1.1141141141e+00 1.5427207363e-03
1.1171171171e+00 1.5406379487e-03
1.1201201201e+00 1.5385025537e-03
1.1231231231e+00 1.5363147930e-03
1.1261261261e+00 1.5340774837e-03
1.1291291291e+00 1.5317868557e-03
1.1321321321e+00 1.5294456261e-03
1.1351351351e+00 1.5270552462e-03
1.1381381381e+00 1.5246114964e-03
1.1411411411e+00 1.5221183364e-03
1.1441441441e+00 1.5195764740e-03
1.1471471471e+00 1.5169818205e-03
1.1501501502e+00 1.5143384074e-03
1.1531531532e+00 1.5116467848e-03
1.1561561562e+00 1.5089035394e-03
1.1591591592e+00 1.5061116777e-03
1.1621621622e+00 1.5032721547e-03
1.1651651652e+00 1.5003827298e-03
1.1681681682e+00 1.4974443577e-03
1.1711711712e+00 1.4944589168e-03
1.1741741742e+00 1.4631320002e-03
1.1771771772e+00 1.4781185722e-03
